Name,Latitude,Longitude,District
AG&P Pratham CNG Station,8.5461501,76.9736335,Thiruvananthapuram
AG&P Pratham CNG Station,8.4836148,76.9302928,Thiruvananthapuram
AG&P Pratham CNG Station,8.5037386,76.9009822,Thiruvananthapuram
AG&P Pratham CNG Station,8.5060104,76.9092263,Thiruvananthapuram
AG&P Pratham CNG Station,8.5180523,76.9799767,Thiruvananthapuram
AG&P Pratham CNG Station,8.7243708,76.8981657,Thiruvananthapuram
AG&P Pratham CNG Station,8.5027353,76.9127722,Thiruvananthapuram
Cng gas booster station,8.5274807,76.9898232,Thiruvananthapuram
AG&P Pratham CNG Station,8.4220638,76.9770102,Thiruvananthapuram
AG&P Pratham CNG Station,8.5880851,76.9499157,Thiruvananthapuram
AG&P Pratham CNG Station,8.5275026,76.9898256,Thiruvananthapuram
AG&P Pratham CNG Station,8.6413079,77.0211845,Thiruvananthapuram
AG&P Pratham CNG Station,8.6400807,76.9301011,Thiruvananthapuram
Crystal CNG Fitment Centre,8.5067978,76.9072376,Thiruvananthapuram
AG&P Pratham CNG Station,8.4547382,77.0601805,Thiruvananthapuram
Hindustan Petroleum - Rukson Trades,8.5047075,76.9514,Thiruvananthapuram
IndianOil,8.501042,76.9670151,Thiruvananthapuram
Bharat Petroleum - KI George,8.5270265,76.9392088,Thiruvananthapuram
AG&P Pratham CNG Station,8.3514847,77.1463418,Thiruvananthapuram
IndianOil,8.5060236,76.9091991,Thiruvananthapuram
IndianOil,8.5078391,76.897247,Thiruvananthapuram
IndianOil,8.5181151,76.979935,Thiruvananthapuram
IndianOil,8.5145912,76.8991415,Thiruvananthapuram
Bharat Petroleum - Vijaya Fuels,8.4742338,76.9764359,Thiruvananthapuram
Hindustan Petroleum - Jaya Petroleum Co.,8.5274718,76.9898219,Thiruvananthapuram
Samudra Fuel Centre - Hindustan Petroleum,8.548284,76.974113,Thiruvananthapuram
IndianOil,8.4998771,76.948779,Thiruvananthapuram
Bharat Petroleum - M/s Unemployed Engineers Cooperative Society Limited,8.5008467,76.9538357,Thiruvananthapuram
Hindustan Petroleum - Auto Services,8.4847441,76.9536861,Thiruvananthapuram
IndianOil,8.4220651,76.977009,Thiruvananthapuram
IndianOil,8.4835321,76.930336,Thiruvananthapuram
Hindustan Petroleum Ganesh Kumar Enterprises,8.5417958,76.9238252,Thiruvananthapuram
G Ramesan & Co Hindustan Petroleum,8.481623,76.9595848,Thiruvananthapuram
Bharat Petroleum - Ann Fuels,8.5047047,76.9514099,Thiruvananthapuram
